ProductID,Warehouse,OpeningStock,ReceivedStock,SoldStock,DamagedStock,ClosingStock,ReorderLevel,LeadTimeDays,SupplierRating
PROD000026,WH_16,60,22,3,0,79,22,3,4.0
PROD000027,WH_07,55,18,3,0,70,21,3,3.6
PROD000027,WH_02,39,13,4,0,48,17,13,4.5
PROD000027,WH_12,25,21,7,0,39,15,4,4.3
PROD000027,WH_17,39,10,0,0,49,17,7,4.8
PROD000028,WH_19,36,15,2,0,49,17,8,3.4
PROD000028,WH_20,55,24,2,0,77,21,20,3.0
PROD000028,WH_14,50,24,2,0,72,20,2,2.8
PROD000028,WH_02,31,24,3,0,52,16,10,3.6
PROD000028,WH_15,94,5,4,0,95,28,9,3.8
PROD000029,WH_02,101,57,19,1,138,30,18,3.2
PROD000029,WH_06,101,19,3,0,117,30,17,4.3
PROD000029,WH_18,27,42,2,0,67,15,10,3.4
PROD000030,WH_05,89,12,3,0,98,27,12,2.6
PROD000030,WH_08,73,14,6,0,81,24,12,4.0
PROD000030,WH_18,48,42,4,0,86,19,6,2.8
PROD000030,WH_10,91,6,0,0,97,28,13,3.7
PROD000031,WH_19,54,4,1,0,57,20,12,4.3
PROD000031,WH_18,90,47,15,0,122,28,3,4.3
PROD000031,WH_12,85,31,3,0,113,27,10,3.8
PROD000031,WH_15,28,41,1,0,68,15,6,4.0
PROD000032,WH_13,88,19,3,0,104,27,11,4.9
PROD000032,WH_16,60,36,8,0,88,22,11,4.0
PROD000032,WH_11,90,29,1,0,118,28,20,3.4
PROD000033,WH_14,65,45,2,0,108,23,4,2.6
PROD000033,WH_02,77,32,4,0,105,25,5,3.0
PROD000033,WH_10,32,17,1,0,48,16,3,4.9
PROD000034,WH_17,68,14,3,0,79,23,6,2.9
PROD000034,WH_03,44,51,5,0,90,18,6,4.1
PROD000034,WH_15,27,25,1,0,51,15,20,3.3
PROD000035,WH_04,64,38,1,0,101,22,11,3.1
PROD000035,WH_17,23,52,3,0,72,14,4,3.5
PROD000035,WH_09,55,19,5,0,69,21,4,3.5
PROD000036,WH_14,58,13,7,1,63,21,14,5.0
PROD000036,WH_09,23,12,0,0,35,14,17,3.2
PROD000036,WH_12,84,28,14,0,98,26,5,5.0
PROD000036,WH_18,108,74,30,0,152,31,12,4.2
PROD000037,WH_01,53,23,0,0,76,20,3,4.2
PROD000037,WH_08,35,18,2,0,51,17,11,4.8
PROD000037,WH_20,39,23,0,0,62,17,9,4.3
PROD000037,WH_11,49,13,8,0,54,19,10,3.5
PROD000037,WH_19,71,40,1,0,110,24,18,3.6
PROD000038,WH_18,25,42,6,0,61,15,11,3.4
PROD000038,WH_02,93,18,2,0,109,28,11,4.3
PROD000038,WH_07,65,32,0,0,97,23,9,4.0
PROD000038,WH_16,64,45,3,0,106,22,7,3.9
PROD000038,WH_09,55,10,2,0,63,21,18,4.7
PROD000039,WH_13,66,13,2,0,77,23,11,4.4
PROD000039,WH_01,47,11,1,0,57,19,12,4.8
PROD000039,WH_18,81,46,0,0,127,26,13,4.0
PROD000039,WH_11,95,34,3,0,126,29,15,2.8
PROD000040,WH_03,60,10,0,0,70,22,18,2.9
PROD000040,WH_14,110,17,12,1,114,32,14,3.6
PROD000040,WH_07,87,49,8,0,128,27,17,3.9
PROD000041,WH_13,130,89,58,0,161,36,6,3.7
PROD000041,WH_20,98,11,4,0,105,29,7,4.2
PROD000041,WH_18,171,103,59,0,215,44,2,3.9
PROD000041,WH_17,102,39,21,0,120,30,16,4.0
PROD000042,WH_02,14,5,1,0,18,12,2,3.9
PROD000042,WH_17,69,15,1,0,83,23,10,4.9
PROD000042,WH_04,25,38,0,0,63,15,13,3.0
PROD000042,WH_10,49,12,1,0,60,19,2,3.1
PROD000043,WH_03,76,43,5,0,114,25,10,3.0
PROD000043,WH_14,92,15,4,0,103,28,8,3.4
PROD000043,WH_20,30,8,2,0,36,16,9,3.9
PROD000043,WH_06,52,21,5,0,68,20,14,4.2
PROD000044,WH_05,69,17,2,0,84,23,3,2.7
PROD000044,WH_09,71,22,1,0,92,24,20,4.2
PROD000044,WH_06,80,35,6,0,109,26,14,3.9
PROD000044,WH_19,68,41,3,1,105,23,9,4.8
PROD000045,WH_17,64,42,2,0,104,22,3,4.9
PROD000045,WH_05,97,38,26,1,108,29,4,2.9
PROD000045,WH_08,72,49,13,0,108,24,2,3.8
PROD000046,WH_20,65,51,6,0,110,23,19,4.8
PROD000046,WH_08,67,41,25,2,81,23,10,3.5
PROD000046,WH_09,64,29,0,0,93,22,2,2.8
PROD000046,WH_05,72,39,37,1,73,24,4,3.6
PROD000047,WH_08,25,26,3,0,48,15,4,4.0
PROD000047,WH_02,88,59,16,0,131,27,13,2.6
PROD000047,WH_11,35,33,3,0,65,17,10,3.4
PROD000048,WH_02,45,47,1,0,91,19,16,4.6
PROD000048,WH_10,79,23,5,0,97,25,10,3.9
PROD000048,WH_20,83,21,3,0,101,26,4,5.0
PROD000048,WH_01,83,12,2,0,93,26,15,3.5
PROD000049,WH_07,49,19,3,0,65,19,12,3.7
PROD000049,WH_19,82,44,3,0,123,26,9,3.9
PROD000049,WH_13,37,23,0,0,60,17,8,3.8
PROD000050,WH_07,63,52,30,0,85,22,19,3.5
PROD000050,WH_17,43,38,10,0,71,18,14,3.4
PROD000050,WH_08,75,35,16,0,94,25,14,2.5
PROD000050,WH_05,31,19,6,0,44,16,9,3.6
PROD000051,WH_15,36,22,5,0,53,17,9,3.9
PROD000051,WH_06,16,20,1,0,35,13,11,3.6
PROD000051,WH_08,62,11,3,0,70,22,20,3.3
PROD000052,WH_09,34,19,3,0,50,16,7,3.9
PROD000052,WH_15,46,47,1,0,92,19,5,4.1
PROD000052,WH_07,75,20,1,0,94,25,4,3.7
PROD000052,WH_01,52,14,5,0,61,20,18,2.9
PROD000052,WH_11,52,44,1,0,95,20,19,2.6
PROD000053,WH_10,90,34,6,0,118,28,18,4.6
PROD000053,WH_17,33,38,4,0,67,16,6,3.5
PROD000053,WH_06,100,15,6,1,108,30,15,3.7
PROD000054,WH_20,46,8,2,0,52,19,20,4.4
PROD000054,WH_08,31,31,6,0,56,16,14,5.0
PROD000054,WH_11,93,30,1,0,122,28,12,3.5
PROD000054,WH_03,100,46,1,0,145,30,13,2.7
PROD000054,WH_13,90,36,1,0,125,28,5,3.7
PROD000055,WH_13,50,21,4,0,67,20,6,2.7
PROD000055,WH_18,83,29,1,0,111,26,12,3.7
PROD000055,WH_02,22,7,1,0,28,14,11,3.1
PROD000055,WH_14,13,43,1,0,55,12,10,3.6
PROD000055,WH_20,17,2,1,0,18,13,12,4.2
PROD000056,WH_05,29,39,4,0,64,15,4,2.9
PROD000056,WH_02,28,5,6,0,27,15,18,3.5
PROD000056,WH_04,75,41,1,0,115,25,9,3.6
PROD000056,WH_08,46,16,2,1,59,19,2,4.8
PROD000057,WH_15,49,31,0,0,80,19,10,2.7
PROD000057,WH_03,11,20,0,0,31,12,7,4.8
PROD000057,WH_04,43,17,5,0,55,18,7,5.0
PROD000057,WH_08,75,21,6,0,90,25,6,4.9
PROD000058,WH_14,45,37,16,0,66,19,5,3.3
PROD000058,WH_15,18,2,3,0,17,13,16,2.5
PROD000058,WH_04,74,44,6,0,112,24,19,3.5
PROD000058,WH_03,80,46,8,0,118,26,7,3.3
PROD000059,WH_14,108,35,25,1,117,31,8,5.0
PROD000059,WH_19,34,25,2,0,57,16,3,4.6
PROD000059,WH_07,89,47,18,0,118,27,15,2.7
PROD000059,WH_01,90,64,17,0,137,28,6,3.6
PROD000059,WH_03,95,36,7,0,124,29,16,2.6
PROD000060,WH_01,26,10,1,0,35,15,2,4.7
PROD000060,WH_05,47,20,7,1,59,19,12,4.4
PROD000060,WH_03,38,21,4,0,55,17,9,4.9
PROD000060,WH_16,78,24,3,0,99,25,14,2.6
PROD000060,WH_19,100,41,6,0,135,30,5,2.6
PROD000061,WH_05,13,7,1,0,19,12,13,4.1
PROD000061,WH_01,30,42,0,0,72,16,4,3.3
PROD000061,WH_20,96,52,5,0,143,29,7,4.5
PROD000062,WH_07,74,34,1,0,107,24,12,3.3
PROD000062,WH_10,26,54,5,0,75,15,9,2.7
PROD000062,WH_17,40,28,2,0,66,18,12,2.5
PROD000063,WH_18,76,55,8,0,123,25,2,4.2
PROD000063,WH_11,40,36,0,0,76,18,12,3.7
PROD000063,WH_20,16,23,1,0,38,13,14,2.6
PROD000063,WH_19,19,8,1,0,26,13,6,4.0
PROD000063,WH_03,26,35,2,0,59,15,7,2.9
PROD000064,WH_12,141,52,42,2,149,38,15,4.6
PROD000064,WH_01,115,48,11,0,152,33,7,3.8
PROD000064,WH_11,61,54,17,0,98,22,20,4.6
PROD000065,WH_20,76,39,4,0,111,25,10,2.7
PROD000065,WH_15,38,32,1,0,69,17,4,3.8
PROD000065,WH_17,147,28,26,0,149,39,17,3.5
PROD000065,WH_02,166,60,43,0,183,43,7,4.4
PROD000066,WH_07,93,32,1,0,124,28,12,4.7
PROD000066,WH_18,41,12,2,0,51,18,15,3.8
PROD000066,WH_08,100,47,10,0,137,30,6,5.0
PROD000067,WH_06,25,42,3,0,64,15,6,3.5
PROD000067,WH_05,38,25,1,0,62,17,8,4.8
PROD000067,WH_07,48,32,0,0,80,19,6,4.8
PROD000067,WH_03,50,39,7,0,82,20,19,3.5
PROD000067,WH_10,91,48,12,1,126,28,16,3.6
PROD000068,WH_11,63,16,9,0,70,22,18,4.1
PROD000068,WH_07,80,47,1,0,126,26,3,3.8
PROD000068,WH_15,81,48,2,0,127,26,17,3.1
PROD000069,WH_09,14,25,1,0,38,12,4,4.6
PROD000069,WH_05,37,5,2,0,40,17,20,2.6
PROD000069,WH_08,83,4,4,0,83,26,6,3.7
PROD000069,WH_15,100,24,3,0,121,30,14,4.5
PROD000069,WH_18,59,6,2,0,63,21,4,3.6
PROD000070,WH_08,33,31,10,0,54,16,7,4.1
PROD000070,WH_18,78,12,2,0,88,25,7,3.1
PROD000070,WH_11,44,59,11,0,92,18,18,4.6
PROD000070,WH_16,23,19,4,0,38,14,5,4.1
PROD000071,WH_08,61,43,1,0,103,22,7,4.9
PROD000071,WH_05,67,54,6,0,115,23,5,3.9
PROD000071,WH_06,36,15,4,0,47,17,5,4.6
PROD000071,WH_03,53,36,28,0,61,20,7,3.0
PROD000071,WH_14,100,43,21,0,122,30,12,3.9
PROD000072,WH_11,76,24,0,0,100,25,10,2.6
PROD000072,WH_17,57,38,0,0,95,21,6,3.0
PROD000072,WH_07,82,6,2,0,86,26,18,3.6
PROD000073,WH_17,11,50,1,0,60,12,19,3.9
PROD000073,WH_20,37,42,0,0,79,17,15,3.9
PROD000073,WH_01,14,31,0,0,45,12,3,4.2
PROD000073,WH_15,94,43,1,0,136,28,19,4.4
PROD000074,WH_11,61,32,9,0,84,22,11,4.1
PROD000074,WH_03,18,30,4,0,44,13,18,3.6
PROD000074,WH_08,21,33,6,0,48,14,15,2.7
PROD000074,WH_17,56,40,14,0,82,21,3,3.9
PROD000074,WH_09,43,18,9,1,51,18,20,2.6
PROD000075,WH_09,35,42,1,0,76,17,8,3.5
PROD000075,WH_12,12,25,1,0,36,12,11,2.9
PROD000075,WH_03,35,9,1,0,43,17,16,3.4
PROD000076,WH_06,62,49,2,0,109,22,15,4.0
PROD000076,WH_11,101,36,4,0,133,30,8,4.4
PROD000076,WH_14,71,62,23,0,110,24,6,4.8
PROD000076,WH_12,100,19,4,0,115,30,2,4.3
PROD000077,WH_19,108,33,6,0,135,31,10,4.7
PROD000077,WH_04,33,1,1,0,33,16,2,4.0
PROD000077,WH_08,27,42,1,0,68,15,11,3.4
PROD000077,WH_20,39,12,0,0,51,17,7,3.4
PROD000077,WH_14,33,35,2,0,66,16,5,4.2
PROD000078,WH_13,40,5,0,0,45,18,3,3.1
PROD000078,WH_04,86,33,5,0,114,27,10,3.4
PROD000078,WH_14,24,9,4,0,29,14,5,4.6
PROD000079,WH_20,55,26,3,0,78,21,18,3.9
PROD000079,WH_16,69,4,3,0,70,23,19,4.0
PROD000079,WH_07,90,4,2,0,92,28,20,3.6
PROD000080,WH_20,20,27,2,0,45,14,12,4.8
PROD000080,WH_10,76,50,2,0,124,25,20,4.9
PROD000080,WH_02,69,17,4,0,82,23,3,4.9
PROD000080,WH_11,64,2,1,0,65,22,10,3.2
PROD000080,WH_07,98,42,3,0,137,29,12,4.3
PROD000081,WH_05,93,10,2,0,101,28,8,4.1
PROD000081,WH_19,66,24,1,0,89,23,15,3.5
PROD000081,WH_10,78,43,1,0,120,25,8,3.8
PROD000081,WH_03,71,54,5,0,120,24,19,4.7
PROD000082,WH_17,38,57,9,0,86,17,20,4.7
PROD000082,WH_05,80,32,1,0,111,26,16,4.4
PROD000082,WH_04,53,23,5,0,71,20,5,3.0
PROD000082,WH_14,48,52,3,0,97,19,8,4.6
PROD000082,WH_12,21,42,4,0,59,14,15,3.1
PROD000083,WH_07,91,34,0,0,125,28,18,4.6
PROD000083,WH_19,33,13,0,1,45,16,15,2.7
PROD000083,WH_08,74,43,7,0,110,24,17,4.1
PROD000084,WH_17,53,39,1,0,91,20,11,4.4
PROD000084,WH_15,63,38,0,0,101,22,4,3.2
PROD000084,WH_20,86,9,4,0,91,27,7,2.7
PROD000084,WH_09,83,33,2,0,114,26,17,2.7
PROD000084,WH_04,68,13,2,0,79,23,7,2.7
PROD000085,WH_04,88,31,0,0,119,27,17,4.6
PROD000085,WH_05,72,21,3,0,90,24,4,4.4
PROD000085,WH_14,18,7,0,0,25,13,15,4.3
PROD000086,WH_16,33,27,9,0,51,16,16,5.0
PROD000086,WH_15,43,70,23,0,90,18,20,2.6
PROD000086,WH_17,55,41,6,0,90,21,12,4.2
PROD000087,WH_16,56,38,12,1,81,21,16,4.7
PROD000087,WH_18,82,36,15,1,102,26,14,2.8
PROD000087,WH_09,25,48,0,0,73,15,16,4.3
PROD000087,WH_19,92,45,23,0,114,28,6,3.4
PROD000088,WH_11,80,64,12,0,132,26,18,4.0
PROD000088,WH_19,107,43,9,0,141,31,20,4.3
PROD000088,WH_07,67,41,10,0,98,23,16,4.2
PROD000088,WH_12,95,13,4,0,104,29,15,4.3
PROD000088,WH_08,57,42,1,0,98,21,9,4.8
PROD000089,WH_05,38,21,1,0,58,17,7,3.5
PROD000089,WH_13,67,35,0,0,102,23,20,3.0
PROD000089,WH_17,32,31,2,0,61,16,4,3.3
PROD000089,WH_11,34,48,6,0,76,16,6,4.9
PROD000090,WH_15,87,31,18,0,100,27,10,4.8
PROD000090,WH_01,113,21,9,0,125,32,2,3.1
PROD000090,WH_06,66,36,6,0,96,23,12,3.1
PROD000091,WH_14,22,38,0,1,59,14,8,4.6
PROD000091,WH_04,41,9,4,0,46,18,10,4.5
PROD000091,WH_18,78,16,0,0,94,25,4,3.2
PROD000091,WH_03,22,51,4,0,69,14,5,4.6
PROD000091,WH_01,56,50,10,0,96,21,20,3.5
PROD000092,WH_03,19,1,1,0,19,13,16,4.6
PROD000092,WH_20,99,3,1,1,100,29,12,4.7
PROD000092,WH_16,39,29,2,0,66,17,18,3.0
PROD000092,WH_02,108,54,9,0,153,31,14,4.9
PROD000092,WH_19,92,27,0,0,119,28,16,3.8
PROD000093,WH_12,68,43,0,0,111,23,5,4.6
PROD000093,WH_17,42,21,0,0,63,18,20,4.6
PROD000093,WH_20,84,14,0,0,98,26,12,4.1
PROD000093,WH_03,82,32,0,0,114,26,20,4.0
PROD000093,WH_19,54,9,0,0,63,20,9,4.2
PROD000094,WH_01,62,31,7,0,86,22,16,3.2
PROD000094,WH_18,90,3,1,0,92,28,12,4.8
PROD000094,WH_13,106,27,9,1,123,31,16,3.9
PROD000095,WH_04,112,62,17,2,155,32,20,3.8
PROD000095,WH_17,92,52,8,0,136,28,14,2.9
PROD000095,WH_09,97,20,1,0,116,29,6,4.0
PROD000095,WH_08,57,6,4,0,59,21,14,4.5
PROD000095,WH_03,116,29,12,0,133,33,4,4.3
PROD000096,WH_02,14,36,1,0,49,12,8,5.0
PROD000096,WH_18,21,49,3,0,67,14,19,3.2
PROD000096,WH_05,84,10,4,0,90,26,4,3.9
PROD000096,WH_12,42,8,6,0,44,18,19,3.9
PROD000096,WH_10,47,13,0,0,60,19,10,3.5
PROD000097,WH_18,94,28,1,0,121,28,13,2.8
PROD000097,WH_19,88,15,5,0,98,27,19,4.5
PROD000097,WH_07,32,25,12,0,45,16,12,4.0
PROD000098,WH_02,60,16,2,0,74,22,17,4.8
PROD000098,WH_20,59,34,1,0,92,21,18,2.7
PROD000098,WH_03,66,39,4,0,101,23,7,3.2
PROD000098,WH_11,63,24,3,0,84,22,4,4.8
PROD000098,WH_07,97,44,1,0,140,29,15,4.3
PROD000099,WH_15,47,9,3,0,53,19,5,3.7
PROD000099,WH_14,16,5,1,0,20,13,20,4.0
PROD000099,WH_10,44,36,2,0,78,18,6,4.3
PROD000099,WH_18,27,46,0,0,73,15,18,3.8
PROD000100,WH_12,85,22,7,1,99,27,7,2.9
PROD000100,WH_14,100,9,3,0,106,30,20,4.1
PROD000100,WH_17,67,9,1,0,75,23,4,3.9
PROD000101,WH_09,57,27,7,0,77,21,14,3.4
PROD000101,WH_06,78,47,2,0,123,25,12,3.8
PROD000101,WH_12,48,31,3,1,75,19,7,3.4
PROD000102,WH_09,10,3,0,0,13,12,19,3.6
PROD000102,WH_05,70,49,2,0,117,24,12,4.6
PROD000102,WH_01,91,21,4,0,108,28,14,4.2
PROD000102,WH_08,65,31,5,0,91,23,5,3.5
PROD000102,WH_13,15,48,2,0,61,13,4,3.9
PROD000103,WH_17,19,47,0,0,66,13,5,2.8
PROD000103,WH_13,90,26,15,0,101,28,10,2.8
PROD000103,WH_14,103,7,4,0,106,30,17,3.1
PROD000103,WH_08,113,38,16,0,135,32,11,3.1
PROD000104,WH_08,29,1,1,0,29,15,2,3.1
PROD000104,WH_10,67,35,2,0,100,23,16,4.1
PROD000104,WH_19,52,23,6,0,69,20,18,2.7
PROD000105,WH_17,63,38,0,0,101,22,17,4.5
PROD000105,WH_14,18,4,0,0,22,13,7,3.7
PROD000105,WH_18,39,44,5,0,78,17,6,3.1
PROD000105,WH_02,61,23,2,0,82,22,15,3.1
PROD000105,WH_06,74,35,1,0,108,24,10,3.4
PROD000106,WH_06,54,8,1,0,61,20,6,4.5
PROD000106,WH_17,87,40,4,0,123,27,18,3.4
PROD000106,WH_19,59,55,5,0,109,21,8,3.3
PROD000106,WH_14,23,17,6,0,34,14,2,4.1
PROD000107,WH_16,96,4,4,0,96,29,10,3.5
PROD000107,WH_06,31,17,10,0,38,16,7,4.6
PROD000107,WH_08,76,48,17,0,107,25,15,3.7
PROD000107,WH_09,138,98,58,0,178,37,3,3.5
PROD000108,WH_18,96,21,4,0,113,29,2,2.9
PROD000108,WH_11,51,38,25,0,64,20,12,4.2
PROD000108,WH_02,99,47,24,0,122,29,9,2.8
PROD000109,WH_11,27,12,2,0,37,15,18,3.0
PROD000109,WH_18,78,29,0,0,107,25,3,3.9
PROD000109,WH_09,21,39,5,0,55,14,15,3.2
PROD000109,WH_12,58,23,1,0,80,21,16,3.4
PROD000109,WH_15,35,30,1,0,64,17,20,3.1
PROD000110,WH_15,32,24,0,0,56,16,7,2.9
PROD000110,WH_09,35,11,2,0,44,17,13,4.4
PROD000110,WH_05,32,44,6,0,70,16,12,4.2
PROD000111,WH_01,90,9,2,0,97,28,10,3.3
PROD000111,WH_14,17,25,1,0,41,13,19,3.0
PROD000111,WH_09,77,19,9,1,86,25,18,4.1
PROD000112,WH_06,98,11,1,0,108,29,19,3.7
PROD000112,WH_14,80,29,2,0,107,26,6,4.8
PROD000112,WH_10,93,23,3,0,113,28,4,3.8
PROD000112,WH_16,95,30,3,0,122,29,4,3.5
PROD000112,WH_19,37,18,9,0,46,17,6,3.0
PROD000113,WH_17,23,45,1,0,67,14,17,4.3
PROD000113,WH_04,103,33,7,1,128,30,9,2.5
PROD000113,WH_18,68,49,2,0,115,23,9,3.0
PROD000114,WH_15,75,15,3,0,87,25,7,4.2
PROD000114,WH_02,27,44,5,0,66,15,11,2.7
PROD000114,WH_19,51,24,3,0,72,20,16,3.9
PROD000114,WH_08,86,14,0,0,100,27,4,2.8
PROD000114,WH_13,36,43,4,0,75,17,13,3.1
PROD000115,WH_20,88,29,1,0,116,27,18,3.8
PROD000115,WH_17,27,46,4,0,69,15,15,2.8
PROD000115,WH_10,74,32,4,1,101,24,4,4.7
PROD000115,WH_14,95,3,1,0,97,29,15,4.5
PROD000115,WH_03,53,48,0,0,101,20,14,3.9
PROD000116,WH_03,79,22,2,0,99,25,3,3.5
PROD000116,WH_06,30,15,1,0,44,16,19,3.5
PROD000116,WH_20,40,23,1,0,62,18,2,3.2
PROD000116,WH_13,56,29,4,0,81,21,16,4.2
PROD000116,WH_15,84,24,0,0,108,26,9,3.2
PROD000117,WH_14,52,1,1,0,52,20,15,3.3
PROD000117,WH_01,41,26,4,0,63,18,9,4.7
PROD000117,WH_06,97,24,2,0,119,29,8,4.7
PROD000117,WH_10,110,25,14,0,121,32,3,3.1
PROD000118,WH_14,99,53,4,0,148,29,12,4.3
PROD000118,WH_11,88,23,3,0,108,27,11,2.7
PROD000118,WH_07,80,29,4,0,105,26,4,4.9
PROD000118,WH_06,52,12,2,0,62,20,13,4.1
PROD000119,WH_10,23,33,5,0,51,14,4,3.3
PROD000119,WH_07,53,35,0,0,88,20,14,4.8
PROD000119,WH_08,25,26,2,0,49,15,9,3.7
PROD000119,WH_04,25,31,4,0,52,15,20,4.8
PROD000119,WH_01,74,27,1,0,100,24,6,3.8
PROD000120,WH_05,175,168,111,1,231,45,17,4.5
PROD000120,WH_12,137,97,33,0,201,37,6,2.8
PROD000120,WH_19,179,98,66,0,211,45,17,3.5
